"","Dept","Gender","Status","count"
"1","A","Male","Admitted",512
"2","A","Male","Denied",313
"3","A","Female","Admitted",89
"4","A","Female","Denied",19
"5","B","Male","Admitted",313
"6","B","Male","Denied",207
"7","B","Female","Admitted",17
"8","B","Female","Denied",8
"9","C","Male","Admitted",120
"10","C","Male","Denied",205
"11","C","Female","Admitted",202
"12","C","Female","Denied",391
"13","D","Male","Admitted",138
"14","D","Male","Denied",279
"15","D","Female","Admitted",131
"16","D","Female","Denied",244
"17","E","Male","Admitted",53
"18","E","Male","Denied",138
"19","E","Female","Admitted",94
"20","E","Female","Denied",299
"21","F","Male","Admitted",22
"22","F","Male","Denied",351
"23","F","Female","Admitted",24
"24","F","Female","Denied",317
